,sim_num,train_percentage,synthetic_percentage,transform,epoch,val_losses,train_losses,val_accuracies
0,0,0.4,0.0,minimal,0,1.0235215723514557,1.062470754608512,0.4953125
1,0,0.4,0.0,minimal,1,0.9300291404128075,0.9820409594103694,0.52734375
2,0,0.4,0.0,minimal,2,0.9201954215764999,0.876871838234365,0.57421875
3,0,0.4,0.0,minimal,3,0.8175704509019852,0.7933087637647986,0.64140625
4,0,0.4,0.0,minimal,4,0.7973030567169189,0.6740165380761027,0.6265625
5,0,0.4,0.0,minimal,5,0.6868298009037972,0.5917559377849102,0.7296875
6,0,0.4,0.0,minimal,6,0.5980328164994717,0.35768699226900935,0.7609375
7,0,0.4,0.0,minimal,7,0.6013706423342228,0.30456684599630535,0.7984375
8,0,0.4,0.0,minimal,8,0.582073274999857,0.16509231709642336,0.81015625
9,0,0.4,0.0,minimal,9,0.5942226100713015,0.12101360585074872,0.82421875
10,1,0.4,0.0,minimal,0,1.0227765962481499,1.0727754086256027,0.534375
11,1,0.4,0.0,minimal,1,0.9476032122969628,0.9696667129173875,0.5140625
12,1,0.4,0.0,minimal,2,0.8520415633916855,0.8718124115839601,0.5953125
13,1,0.4,0.0,minimal,3,0.8108833432197571,0.7616858510300517,0.621875
14,1,0.4,0.0,minimal,4,0.7456757530570031,0.602006577886641,0.6671875
15,1,0.4,0.0,minimal,5,0.5704895120114089,0.4271426317282021,0.759375
16,1,0.4,0.0,minimal,6,0.5324070483446122,0.3100296907359734,0.78828125
17,1,0.4,0.0,minimal,7,0.4775557890534401,0.1790898258332163,0.83671875
18,1,0.4,0.0,minimal,8,0.5381623523309826,0.10614503113902174,0.82578125
19,1,0.4,0.0,minimal,9,0.4608151465654373,0.08551975134469103,0.840625
20,2,0.4,0.0,minimal,0,0.9704900324344635,1.043924007564783,0.5203125
21,2,0.4,0.0,minimal,1,1.0055662900209428,0.9502658350393176,0.50546875
22,2,0.4,0.0,minimal,2,0.9639033958315849,0.8813200518488884,0.540625
23,2,0.4,0.0,minimal,3,0.8372238874435425,0.8107341602444649,0.60859375
24,2,0.4,0.0,minimal,4,0.7396667547523975,0.6463796799071133,0.6828125
25,2,0.4,0.0,minimal,5,0.7892036013305187,0.5091875153593719,0.6875
26,2,0.4,0.0,minimal,6,0.5351964280009269,0.3558771980460733,0.7890625
27,2,0.4,0.0,minimal,7,0.510697179287672,0.20560525701148435,0.81953125
28,2,0.4,0.0,minimal,8,0.7423524521291256,0.1568067994667217,0.76015625
29,2,0.4,0.0,minimal,9,0.5474812563508749,0.08878203740459867,0.8484375
30,0,0.4,0.0,basic,0,1.0380000650882721,1.0646848855540156,0.4953125
31,0,0.4,0.0,basic,1,0.9408455580472946,0.9948938796296716,0.559375
32,0,0.4,0.0,basic,2,0.8944566875696183,0.8874976001679897,0.56796875
33,0,0.4,0.0,basic,3,0.901525716483593,0.8556883642449975,0.571875
34,0,0.4,0.0,basic,4,0.9271713718771935,0.8268278916366398,0.571875
35,1,0.4,0.0,basic,0,0.9818044662475586,1.045623523183167,0.509375
36,1,0.4,0.0,basic,1,0.9209733545780182,0.9466558527201414,0.525
37,1,0.4,0.0,basic,2,0.8844041302800179,0.8930534087121487,0.55859375
38,1,0.4,0.0,basic,3,0.8408171474933624,0.8462589774280787,0.603125
39,1,0.4,0.0,basic,4,0.7844712570309639,0.744876163545996,0.63125
40,1,0.4,0.0,basic,5,0.8482197470963001,0.6695127398706973,0.61953125
41,1,0.4,0.0,basic,6,0.7576755054295063,0.5314363013021648,0.66484375
42,1,0.4,0.0,basic,7,0.6468962490558624,0.4550657582003623,0.73515625
43,1,0.4,0.0,basic,8,0.6114471890032291,0.34508011816069484,0.75859375
44,1,0.4,0.0,basic,9,0.5589389998465777,0.2578178651165217,0.80078125
45,2,0.4,0.0,basic,0,0.952578940987587,1.0319744935259223,0.53515625
46,2,0.4,0.0,basic,1,0.9094892203807831,0.918664526194334,0.5515625
47,2,0.4,0.0,basic,2,0.8998008027672768,0.8949351692572236,0.565625
48,2,0.4,0.0,basic,3,0.8650050446391105,0.8413193635642529,0.590625
49,2,0.4,0.0,basic,4,0.804370428621769,0.7617835681885481,0.61328125
50,2,0.4,0.0,basic,5,0.7582533650100232,0.6679531303234398,0.64140625
51,2,0.4,0.0,basic,6,0.6898126982152462,0.539390258025378,0.71328125
52,2,0.4,0.0,basic,7,0.6439592763781548,0.5053049782291055,0.7421875
53,2,0.4,0.0,basic,8,0.6441544532775879,0.4106684089638293,0.74375
54,2,0.4,0.0,basic,9,0.6522472657263279,0.2784773607272655,0.7671875
55,0,0.4,0.0,auto,0,1.0571159973740578,1.0798681546002626,0.4953125
56,0,0.4,0.0,auto,1,1.0457186684012414,1.0515046017244458,0.4953125
57,0,0.4,0.0,auto,2,1.0364909544587135,1.0412442507222295,0.4953125
58,0,0.4,0.0,auto,3,1.0537220656871795,1.0332337524741888,0.4953125
59,0,0.4,0.0,auto,4,1.0472493439912796,1.0308216735720634,0.4953125
60,1,0.4,0.0,auto,0,1.0437096029520034,1.082105808891356,0.4953125
61,1,0.4,0.0,auto,1,1.0762240394949913,1.05556636210531,0.4953125
62,1,0.4,0.0,auto,2,1.0378325834870339,1.0427058869972825,0.4953125
63,1,0.4,0.0,auto,3,1.0509278923273087,1.028813018463552,0.4953125
64,1,0.4,0.0,auto,4,1.0082486778497697,1.0059809861704707,0.5046875
65,1,0.4,0.0,auto,5,0.9623570635914802,0.9624626012519002,0.5484375
66,1,0.4,0.0,auto,6,0.93883376121521,0.9238172546029091,0.54140625
67,1,0.4,0.0,auto,7,0.9734973654150962,0.8918361999094486,0.5421875
68,1,0.4,0.0,auto,8,0.9046945944428444,0.886890472844243,0.5734375
69,1,0.4,0.0,auto,9,0.8769109025597572,0.8412839164957404,0.596875
70,2,0.4,0.0,auto,0,1.0370876342058182,1.0801364118233323,0.4953125
71,2,0.4,0.0,auto,1,1.051977241039276,1.0464679589495063,0.4953125
72,2,0.4,0.0,auto,2,1.0399716079235077,1.0434609781950712,0.49453125
